ProtID1,ProtID2
Q9BZE1,Q96EH3
Q9BZE1,Q9HD33
Q9BZE1,Q9NX20
Q9BZE1,Q96DV4
Q9BZE1,Q14197
Q9BZE1,Q5T653
Q9BZE1,Q9BYD1
Q9BZE1,Q8TAE8
Q9BZE1,Q9P015
Q9BZE1,Q9NP92
Q9BZE1,Q8TCC3
Q9BZE1,Q6P1L8
Q9BZE1,Q9Y6G3
Q9NP92,Q9BQC6
Q9NP92,Q9H2W6
Q9NP92,Q9BYD2
Q9NP92,Q9BYC8
Q9NP92,Q9Y3B7
Q9NP92,Q96GC5
Q9NP92,Q9NQ50
Q9NP92,P09001
Q9NP92,Q16540
Q9NP92,Q8IXM3
Q9NP92,Q9NWU5
Q9NP92,Q9NRX2
Q9NP92,Q7Z7H8
Q9NP92,Q96A35
Q9NP92,Q13405
Q9NP92,Q9H9J2
Q9NP92,Q8N5N7
Q9NP92,Q96DV4
Q9NP92,Q9BYC9
Q9NP92,Q9P0M9
Q9NP92,Q7Z7F7
Q9NP92,Q96EH3
Q9NP92,Q9HD33
Q9NP92,Q9NX20
Q9NP92,P49406
Q9NP92,Q9P015
Q9NP92,Q14197
Q9NP92,Q5T653
Q9NP92,Q7Z2W9
Q9NP92,Q9BYD1
Q9NP92,O75394
Q9NP92,Q8TAE8
Q9NP92,Q9NZE8
Q9NP92,Q8TCC3
Q9NP92,Q6P1L8
Q9NP92,Q9Y6G3
Q9NP92,Q9H0U6
Q9NP92,Q4U2R6
Q9NP92,Q96EL3
Q9NP92,Q9BQ48
Q9NP92,Q86TS9
Q9HD33,Q9H2W6
Q9HD33,Q9BYD2
Q9HD33,Q9BYC8
Q9HD33,Q9Y3B7
Q9HD33,Q96GC5
Q9HD33,Q9NQ50
Q9HD33,P09001
Q9HD33,Q16540
Q9HD33,Q8IXM3
Q9HD33,Q9NWU5
Q9HD33,Q7Z7H8
Q9HD33,Q96A35
Q9HD33,Q13405
Q9HD33,Q9H9J2
Q9HD33,Q8N5N7
Q9HD33,Q96DV4
Q9HD33,Q9BYC9
Q9HD33,Q9P0M9
Q9HD33,Q7Z7F7
Q9HD33,Q96EH3
Q9HD33,Q9NX20
Q9HD33,P49406
Q9HD33,Q9P015
Q9HD33,Q14197
Q9HD33,Q5T653
Q9HD33,Q7Z2W9
Q9HD33,Q9BYD1
Q9HD33,Q8N983
Q9HD33,Q9NRX2
Q9HD33,O75394
Q9HD33,Q8TAE8
Q9HD33,Q9NZE8
Q9HD33,Q8TCC3
Q9HD33,Q9H0U6
Q9HD33,Q6P1L8
Q9HD33,Q9Y6G3
Q9HD33,Q4U2R6
Q9HD33,Q9BQC6
Q9HD33,Q9BQ48
Q9H0U6,Q14197
P49406,Q14197
Q9BZE1,Q14197
Q9HD33,Q14197
Q9NWU5,Q7Z7H8
Q9H0U6,Q9BYD1
Q5T653,Q9BYD1
Q9BZE1,Q9BYD1
Q9HD33,Q9BYD1
Q7Z7H8,Q9P015
Q13084,Q9P015
P09001,Q9P015
Q9BYD3,Q9P015
Q9H0U6,Q9NRX2
Q5T653,Q9NRX2
Q9NWU5,Q9NRX2
Q9BZE1,Q9NRX2
Q9HD33,Q9NRX2
Q9BYD2,Q9NRX2
Q9BYC8,Q9H0U6
Q9BYD3,Q9H0U6
Q9BYD2,Q9H0U6
Q9H0U6,P49406
Q9H0U6,Q5T653
Q9NWU5,Q5T653
Q9BYC8,Q5T653
Q9P015,Q9BYC9
Q9H0U6,Q9BYC9
Q9BYD3,Q9BYC9
Q9H0U6,Q96A35
Q5T653,Q96A35
Q9NWU5,Q96A35
Q9BZE1,Q96A35
Q9HD33,Q96A35
Q96A35,Q13084
